label,title,url,safe_name
2017 Eschborn-Frankfurt 'Rund um den Finanzplatz',,,2017_eschborn_frankfurt_rund_um_den_finanzplatz
2017 Giro d'Italia Stage 14,,,2017_giro_d_italia_stage_14
2017 Giro d'Italia Stage 18,,,2017_giro_d_italia_stage_18
2017 Giro d'Italia Stage 19,,,2017_giro_d_italia_stage_19
2017 La Fleche Wallonne,,,2017_la_fleche_wallonne
2017 Liege - Bastogne - Liege,,,2017_liege_bastogne_liege
2017 Paris-Nice Stage 8,,,2017_paris_nice_stage_8
2017 Strade Bianche,,,2017_strade_bianche
2017 Tirreno-Adriatico Stage 6,,,2017_tirreno_adriatico_stage_6
2017 Tour de Romandie Stage 1,,,2017_tour_de_romandie_stage_1
2017 Tour de Romandie Stage 3,,,2017_tour_de_romandie_stage_3
2017 Tour de Romandie Stage 4,,,2017_tour_de_romandie_stage_4
2017 Tour of Oman Stage 5,,,2017_tour_of_oman_stage_5
2017 Tour of Oman Stage 6,,,2017_tour_of_oman_stage_6
2017 Volta Ciclista a Catalunya Stage 1,,,2017_volta_ciclista_a_catalunya_stage_1
2017 Volta Ciclista a Catalunya Stage 2,,,2017_volta_ciclista_a_catalunya_stage_2
2017 Volta Ciclista a Catalunya Stage 3,,,2017_volta_ciclista_a_catalunya_stage_3
2017 Volta Ciclista a Catalunya Stage 5,,,2017_volta_ciclista_a_catalunya_stage_5
2017 Volta Ciclista a Catalunya Stage 6,,,2017_volta_ciclista_a_catalunya_stage_6
2017 Volta Ciclista a Catalunya Stage 7,,,2017_volta_ciclista_a_catalunya_stage_7
