Race Name,Distance,Street,Road,Paved,Asphalt,Path,Cycleway,Unpaved,State Road,Cobblestones,Unknown,Compacted Gravel,Off-grid (unknown),Singletrack,Access Road,Alpine,Net Gain,Lowest Elevation,Highest Elevation,Vertical Gain,Downhill,Year,Stage,Race,is_uci,match_reason
2022 Bretagne Classic - Ouest-France,255.37,4.87,237.0,77.7,178.0,,1.2,,12.3,,,,,,,,,5.0,248.0,2630.0,2630.0,2022,,Bretagne Classic - Ouest-France,True,exact
2022 Il Lombardia,253.41000000000005,1.84,214.0,2.48,247.0,1.08,3.11,,30.8,0.641,3.17,,2.58,,,,-60.0,199.0,1070.0,5230.0,5290.0,2022,,Il Lombardia,True,exact
2023 Amstel Gold Race,251.607,5.76,148.0,12.5,234.0,1.97,70.4,1.63,22.0,1.43,3.34,,3.32,0.791,0.157,,79.99999999989996,42.0,326.0,3049.9999999999,2970.0,2023,,Amstel Gold Race,True,exact
2023 Bretagne Classic - Ouest-France,259.08700000000005,11.4,222.0,86.4,170.0,0.792,0.705,0.792,22.9,,1.29,,1.29,,,,-50.0,43.0,357.0,3350.0,3400.0,2023,,Bretagne Classic - Ouest-France,True,exact
2023 Classic Brugge-De Panne,212.1,20.8,113.0,51.1,161.0,,58.2,,20.1,0.302,,,,,,,,-3.0,35.0,350.0,350.0,2023,,Classic Brugge-De Panne,True,exact
2023 Criterium du Dauphine Stage 1,158.73000000000002,0.418,158.0,,158.0,,,,,,0.23,,,,0.312,,-110.0,848.0,1277.0,2890.0,3000.0,2023,1,Criterium du Dauphine,True,exact
2023 Criterium du Dauphine Stage 2,167.9,,140.0,,168.0,,,,27.9,,,,,,,,680.0000000001,397.0,1118.0,2730.0,2049.9999999999,2023,2,Criterium du Dauphine,True,exact
2023 Criterium du Dauphine Stage 3,194.2,0.66,157.0,4.74,190.0,,8.14,,28.4,,,,,,,,-169.99999999989996,275.0,975.0,2210.0,2379.9999999999,2023,3,Criterium du Dauphine,True,exact
2023 Criterium du Dauphine Stage 4,31.0,,31.0,,31.0,,,,,,,,,,,,-40.0,275.0,615.0,390.0,430.0,2023,4,Criterium du Dauphine,True,exact
2023 Criterium du Dauphine Stage 5,190.588,0.188,160.0,1.45,189.0,,1.2,,29.2,,,,,,,,160.0,177.0,711.0,1980.0,1820.0,2023,5,Criterium du Dauphine,True,exact
2023 Criterium du Dauphine Stage 6,171.338,0.208,147.0,2.71,168.0,,0.982,,22.9,,0.282,,0.248,,,,680.0,255.0,1485.0,3280.0,2600.0,2023,6,Criterium du Dauphine,True,exact
2023 Criterium du Dauphine Stage 7,148.668,0.324,111.0,0.776,148.0,,9.13,,27.6,,0.514,,0.514,,0.1,,1780.0,263.0,2066.0,4120.0,2340.0,2023,7,Criterium du Dauphine,True,exact
2023 Criterium du Dauphine Stage 8,152.79200000000003,0.193,136.0,1.07,152.0,,12.4,,4.09,,,,,,0.109,,189.9999999999996,238.0,1323.0,4140.0,3950.000000000001,2023,8,Criterium du Dauphine,True,exact
2023 Dwars door Vlaandren ,113.647,14.8,49.4,38.4,65.3,,41.2,,7.38,9.17,0.867,1.11,0.867,1.12,,,,8.0,155.0,950.0,950.0,2023,,Dwars door Vlaandren,True,fuzzy:98:dwars door vlaanderen
2023 Eschborn-Frankfurt,204.23200000000003,7.01,133.0,11.7,182.0,1.93,26.8,0.244,27.4,0.994,8.7,,7.83,,0.262,,-10.0,92.0,844.0,3110.0,3120.0,2023,,Eschborn-Frankfurt,True,exact
2023 Giro dItalia Stage 1,19.98,1.97,2.6,,18.9,0.563,14.5,,,0.392,0.646,,0.198,,0.149,,70.0,1.0,71.0,180.0,110.0,2023,1,Giro dItalia,True,exact
2023 Giro dItalia Stage 10,196.2,,130.0,0.232,196.0,,,,66.2,,,,,,,,-100.0,,1522.0,3400.0,3500.0,2023,10,Giro dItalia,True,exact
2023 Giro dItalia Stage 11,219.249,0.949,104.0,1.22,213.0,,44.4,0.691,66.0,,3.9,,3.9,0.222,,,120.0,,650.88319360144,2770.0,2650.0,2023,11,Giro dItalia,True,exact
2023 Giro dItalia Stage 12,186.16,1.9,158.0,2.21,182.0,,1.81,0.148,23.2,0.42,1.32,,1.25,,,,150.0,166.0,1005.0,2480.0,2330.0,2023,12,Giro dItalia,True,exact
2023 Giro dItalia Stage 13,75.18,4.15,70.0,0.22,69.1,,1.03,2.63,,,,3.27,,,,,630.0,468.0,2174.0,2540.0,1910.0,2023,13,Giro dItalia,True,exact
2023 Giro dItalia Stage 14,196.54,4.04,89.9,4.14,187.0,1.34,,1.17,97.3,0.25,4.01,,3.96,,,,-290.0,197.0,2007.0,2920.0,3210.0,2023,14,Giro dItalia,True,exact
2023 Giro dItalia Stage 15,195.6,1.78,145.0,0.729,188.0,2.1,10.3,0.621,32.1,0.309,6.19,0.196,4.32,0.621,,,10.0,201.0,1341.0,4250.0,4240.0,2023,15,Giro dItalia,True,exact
2023 Giro dItalia Stage 16,204.623,7.48,122.0,2.18,199.0,0.173,1.09,0.144,71.2,0.788,2.68,,2.68,,,,1410.0,33.238609433169,1642.0,6450.0,5040.0,2023,16,Giro dItalia,True,exact
2023 Giro dItalia Stage 17,198.78000000000003,6.51,90.0,3.39,170.0,3.37,10.5,1.79,66.9,0.716,22.0,0.877,21.5,,,,-540.0,-2.0,568.0,730.0,1270.0,2023,17,Giro dItalia,True,exact
2023 Giro dItalia Stage 18,161.754,1.43,137.0,5.25,156.0,0.14,0.184,,23.0,,0.107,,,,,,1500.0,13.0,1533.0,4200.0,2700.0,2023,18,Giro dItalia,True,exact
2023 Giro dItalia Stage 19,183.041,0.16,65.6,,182.0,0.578,0.504,,116.0,0.735,0.199,,0.199,,,,1870.0,373.0,2307.0,5560.0,3690.0,2023,19,Giro dItalia,True,exact
2023 Giro dItalia Stage 2,202.71,2.75,79.9,1.27,199.0,,1.67,,117.0,,1.88,,1.39,,,,-179.99999999989996,1.0,352.0,1870.0,2049.9999999999,2023,2,Giro dItalia,True,exact
2023 Giro dItalia Stage 20,18.617,2.0,3.5,8.32,9.41,7.27,5.36,0.69,0.487,,0.16,,,,,,990.0,750.0,1753.0,1070.0,80.0,2023,20,Giro dItalia,True,exact
2023 Giro dItalia Stage 21,129.106,8.33,54.8,2.28,95.9,11.2,1.25,0.421,41.4,17.7,13.1,,12.0,0.339,0.126,,10.0,3.0,65.0,910.0,900.0,2023,21,Giro dItalia,True,exact
2023 Giro dItalia Stage 3,213.671,2.66,70.5,2.26,170.0,2.8,0.511,2.55,98.4,,39.1,,38.8,,,,530.0,1.0,855.0,1740.0,1210.0,2023,3,Giro dItalia,True,exact
2023 Giro dItalia Stage 4,177.16000000000005,3.15,122.0,11.4,126.0,7.31,,7.31,12.4,,32.3,,32.3,,,,580.0,335.0,1132.0,3730.0,3150.0,2023,4,Giro dItalia,True,exact
2023 Giro dItalia Stage 5,171.19899999999998,1.17,120.0,1.77,147.0,0.329,,0.206,27.0,,23.1,,22.7,,,,-260.0,1.0,978.0,2810.0,3070.0,2023,5,Giro dItalia,True,exact
2023 Giro dItalia Stage 6,162.95999999999998,1.91,79.8,6.25,148.0,1.95,2.06,,71.3,2.12,6.25,,5.94,,,,-30.0,,695.0,3180.0,3210.0,2023,6,Giro dItalia,True,exact
2023 Giro dItalia Stage 7,219.918,0.751,67.5,0.57,204.0,0.867,,0.867,137.0,,14.3,,13.8,,,,2100.0,22.0,2123.0,4170.0,2070.0,2023,7,Giro dItalia,True,exact
2023 Giro dItalia Stage 8,207.034,3.9,122.0,6.98,175.0,0.734,,1.18,57.1,,23.9,0.852,23.3,0.758,,,-140.0,77.0,661.31976987912,2990.0,3130.0,2023,8,Giro dItalia,True,exact
2023 Giro dItalia Stage 9,35.278,0.978,31.2,4.95,29.8,0.258,1.93,,0.432,0.107,0.48,,0.48,,,,-10.0,1.0,42.0,70.0,80.0,2023,9,Giro dItalia,True,exact
2023 Il Lombardia,238.19,1.6,204.0,1.98,230.0,,10.9,0.571,16.1,0.67,5.63,0.288,5.59,0.571,,,-40.0,200.0,1261.0,5070.0,5110.0,2023,,Il Lombardia,True,exact
2023 La Fleche Wallonne,193.63,8.27,152.0,7.72,186.0,,2.06,,31.3,0.18,,,,,,,-110.00000000010004,69.0,313.0,3029.9999999999,3140.0,2023,,La Fleche Wallonne,True,exact
2023 La Vuelta Ciclista a Espana Stage 1,14.897,1.65,2.37,,13.6,0.249,8.46,,1.49,0.51,0.741,,0.678,,,,40.0,,40.0,110.0,70.0,2023,1,La Vuelta Ciclista a Espana,True,exact
2023 La Vuelta Ciclista a Espana Stage 10,25.673,1.05,9.48,1.17,24.3,,0.167,,14.8,,0.193,,0.176,,,,10.0,687.0,764.0,170.0,160.0,2023,10,La Vuelta Ciclista a Espana,True,exact
