number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,-0.41379310344827586,2026-06-22 07:25:44.970251,2026-06-22 07:26:14.491708,0 days 00:00:29.521457,0.5290418060840998,0.07661100707771368,10,24,437,144,0.6245760287469893,0.002570603566117598,0.5779972601681014,COMPLETE
1,-0.33620689655172414,2026-06-22 07:26:14.493899,2026-06-22 07:26:22.778033,0 days 00:00:08.284134,0.5917022549267169,0.16967533607196555,12,29,737,22,5.472429642032198e-06,0.00052821153945323,0.5909124836035503,COMPLETE
2,-0.5258620689655172,2026-06-22 07:26:22.780033,2026-06-22 07:27:07.869912,0 days 00:00:45.089879,0.728034992108518,0.01607123851203988,9,36,489,58,0.1165691561324743,6.267062696005991e-07,0.6831809216468459,COMPLETE
3,-0.5086206896551724,2026-06-22 07:27:07.870951,2026-06-22 07:27:37.373749,0 days 00:00:29.502798,0.9744427686266666,0.07896186801026692,3,25,563,97,4.905556676028774,0.18861495878553936,0.5325257964926398,COMPLETE
4,-0.4827586206896552,2026-06-22 07:27:37.375745,2026-06-22 07:28:00.676441,0 days 00:00:23.300696,0.5171942605576092,0.044684675025045834,9,21,374,32,1.527156759251193,2.133142332373004e-06,0.7475884550556351,COMPLETE
5,-0.5344827586206896,2026-06-22 07:28:00.676441,2026-06-22 07:28:34.804455,0 days 00:00:34.128014,0.8875664116805573,0.06420330336297862,8,26,696,60,2.854239907497756,1.1309571585271483,0.9847923138822793,COMPLETE
6,-0.49137931034482757,2026-06-22 07:28:34.805454,2026-06-22 07:29:10.284126,0 days 00:00:35.478672,0.6943386448447411,0.01947558230629543,3,14,638,140,2.7678419414850017e-06,0.28749982347407854,0.6626651653816322,COMPLETE
7,-0.49137931034482757,2026-06-22 07:29:10.284126,2026-06-22 07:29:38.961432,0 days 00:00:28.677306,0.9934434683002586,0.016149614799999188,8,82,421,56,0.08916674715636537,6.143857495033091e-07,0.5372753218398854,COMPLETE
8,-0.46551724137931033,2026-06-22 07:29:38.961432,2026-06-22 07:29:52.254514,0 days 00:00:13.293082,0.6792328642721364,0.11935262708510537,10,80,104,126,1.1036250149900698e-07,0.5860448217200517,0.5370223258670452,COMPLETE
9,-0.5,2026-06-22 07:29:52.256074,2026-06-22 07:30:09.227054,0 days 00:00:16.970980,0.8187787356776066,0.028797752657070342,3,39,661,63,0.9658611176861268,0.0001778010520878397,0.864803089169032,COMPLETE
