number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,-0.3793103448275862,2026-06-29 09:55:30.818138,2026-06-29 09:55:49.084537,0 days 00:00:18.266399,0.5290418060840998,0.07661100707771368,10,24,437,144,0.6245760287469893,0.002570603566117598,0.5779972601681014,COMPLETE
1,-0.2672413793103448,2026-06-29 09:55:49.085540,2026-06-29 09:55:56.010831,0 days 00:00:06.925291,0.5917022549267169,0.16967533607196555,12,29,737,22,5.472429642032198e-06,0.00052821153945323,0.5909124836035503,COMPLETE
2,-0.45689655172413796,2026-06-29 09:55:56.011837,2026-06-29 09:56:27.885978,0 days 00:00:31.874141,0.728034992108518,0.01607123851203988,9,36,489,58,0.1165691561324743,6.267062696005991e-07,0.6831809216468459,COMPLETE
3,-0.5258620689655172,2026-06-29 09:56:27.885978,2026-06-29 09:56:49.456037,0 days 00:00:21.570059,0.9744427686266666,0.07896186801026692,3,25,563,97,4.905556676028774,0.18861495878553936,0.5325257964926398,COMPLETE
4,-0.49137931034482757,2026-06-29 09:56:49.457034,2026-06-29 09:57:22.738211,0 days 00:00:33.281177,0.5171942605576092,0.044684675025045834,9,21,374,32,1.527156759251193,2.133142332373004e-06,0.7475884550556351,COMPLETE
5,-0.49137931034482757,2026-06-29 09:57:22.738211,2026-06-29 09:57:35.384848,0 days 00:00:12.646637,0.8875664116805573,0.06420330336297862,8,26,696,60,2.854239907497756,1.1309571585271483,0.9847923138822793,COMPLETE
6,-0.49137931034482757,2026-06-29 09:57:35.384848,2026-06-29 09:57:59.091868,0 days 00:00:23.707020,0.6943386448447411,0.01947558230629543,3,14,638,140,2.7678419414850017e-06,0.28749982347407854,0.6626651653816322,COMPLETE
7,-0.47413793103448276,2026-06-29 09:57:59.092863,2026-06-29 09:58:28.134642,0 days 00:00:29.041779,0.9934434683002586,0.016149614799999188,8,82,421,56,0.08916674715636537,6.143857495033091e-07,0.5372753218398854,COMPLETE
8,-0.43103448275862066,2026-06-29 09:58:28.135636,2026-06-29 09:58:39.484458,0 days 00:00:11.348822,0.6792328642721364,0.11935262708510537,10,80,104,126,1.1036250149900698e-07,0.5860448217200517,0.5370223258670452,COMPLETE
9,-0.47413793103448276,2026-06-29 09:58:39.484458,2026-06-29 09:58:52.044442,0 days 00:00:12.559984,0.8187787356776066,0.028797752657070342,3,39,661,63,0.9658611176861268,0.0001778010520878397,0.864803089169032,COMPLETE
10,-0.3275862068965517,2026-06-29 09:58:52.045196,2026-06-29 09:58:58.569310,0 days 00:00:06.524114,0.9865417857436737,0.2382900342041922,5,57,951,105,0.0025074987853267337,0.008349484536843164,0.8451235367845726,COMPLETE
11,-0.4396551724137931,2026-06-29 09:58:58.570310,2026-06-29 09:59:11.447248,0 days 00:00:12.876938,0.8553088770127039,0.03896964082202069,6,52,236,95,0.0029151336209232823,1.272089805451165e-08,0.7820230417849481,COMPLETE
12,-0.5344827586206896,2026-06-29 09:59:11.447248,2026-06-29 09:59:35.914761,0 days 00:00:24.467513,0.5136394140845798,0.09434424018392583,6,12,300,20,8.186687457457445,1.2182223306431187e-05,0.6887471426927588,COMPLETE
13,-0.5,2026-06-29 09:59:35.915760,2026-06-29 09:59:49.369472,0 days 00:00:13.453712,0.62077746649017,0.1199022790539994,5,10,246,81,9.488409590900885,3.994821418554373e-05,0.6481068503057549,COMPLETE
14,-0.39655172413793105,2026-06-29 09:59:49.370473,2026-06-29 09:59:59.839964,0 days 00:00:10.469491,0.7793992915216571,0.09008447853715147,6,51,898,118,0.015936847132186974,0.03285224662400435,0.513166539737674,COMPLETE
15,-0.5086206896551724,2026-06-29 09:59:59.840959,2026-06-29 10:00:48.729228,0 days 00:00:48.888269,0.9071542244691639,0.010380836837556022,4,68,540,40,9.733892177913486,6.243069797304142,0.7308929150164918,COMPLETE
16,-0.3879310344827586,2026-06-29 10:00:48.730204,2026-06-29 10:00:56.048224,0 days 00:00:07.318020,0.598794530152408,0.2799346554846422,6,39,305,79,3.154443500139828e-05,1.1489427723568213e-05,0.6119091238543101,COMPLETE
17,-0.29310344827586204,2026-06-29 10:00:56.048224,2026-06-29 10:01:03.216277,0 days 00:00:07.168053,0.9279315172796606,0.1569099672458633,4,10,153,99,2.1219899323605756e-08,3.8931386657626464e-08,0.8214237152952777,COMPLETE
18,-0.4224137931034483,2026-06-29 10:01:03.217273,2026-06-29 10:01:15.942955,0 days 00:00:12.725682,0.7819873495107165,0.05223601625835237,7,18,809,79,0.00022163473160045528,0.03223613096154224,0.9134336554829187,COMPLETE
19,-0.4051724137931034,2026-06-29 10:01:15.942955,2026-06-29 10:01:22.391726,0 days 00:00:06.448771,0.6480904907836635,0.09970028855539519,4,33,586,112,0.09484854230943285,0.0009282807391778979,0.7202682535271782,COMPLETE
20,-0.5086206896551724,2026-06-29 10:01:22.391726,2026-06-29 10:01:48.047114,0 days 00:00:25.655388,0.5693849697152993,0.035137240362356534,12,94,370,44,0.008225723319543129,0.000104133116311454,0.6200392464368687,COMPLETE
21,-0.5258620689655172,2026-06-29 10:01:48.048086,2026-06-29 10:02:34.705989,0 days 00:00:46.657903,0.9295490219980153,0.025707791761261815,4,66,538,24,6.658528410687029,8.065675514145028,0.715894219010795,COMPLETE
22,-0.5086206896551724,2026-06-29 10:02:34.707965,2026-06-29 10:02:55.150912,0 days 00:00:20.442947,0.9425621043145863,0.02766022411382053,3,65,551,21,0.2679244246958021,5.536918760207547,0.6955269050429235,COMPLETE
23,-0.47413793103448276,2026-06-29 10:02:55.150912,2026-06-29 10:03:05.925316,0 days 00:00:10.774404,0.8625807748497069,0.060104100771458786,5,46,755,34,4.130867764433515,0.06817950200169642,0.7746016794499094,COMPLETE
24,-0.5258620689655172,2026-06-29 10:03:05.926318,2026-06-29 10:03:26.992818,0 days 00:00:21.066500,0.9607192914768045,0.0742187483320666,4,64,488,70,0.5857610416461286,8.45279332344401,0.5635857576052616,COMPLETE
25,-0.3103448275862069,2026-06-29 10:03:26.992818,2026-06-29 10:03:36.788797,0 days 00:00:09.795979,0.8830508376250706,0.15435935157729463,7,75,298,91,0.036375278454115124,1.0280925894309747e-05,0.5009980625700443,COMPLETE
26,-0.5344827586206896,2026-06-29 10:03:36.788797,2026-06-29 10:04:02.480559,0 days 00:00:25.691762,0.8238992528544868,0.024689046393918584,5,95,607,48,0.00038653930696785574,0.13895690091664648,0.6451017161435467,COMPLETE
27,-0.5172413793103449,2026-06-29 10:04:02.482163,2026-06-29 10:04:35.090116,0 days 00:00:32.607953,0.8130761028943719,0.010736514984973518,5,96,603,47,0.000881179123156915,0.005636656577848884,0.6456338907941778,COMPLETE
28,-0.5172413793103449,2026-06-29 10:04:35.107982,2026-06-29 10:04:55.935972,0 days 00:00:20.827990,0.7357933353686009,0.04579981224161202,6,87,831,49,6.367316994666862e-05,0.3236816194028811,0.6323585999023397,COMPLETE
29,-0.49137931034482757,2026-06-29 10:04:55.935972,2026-06-29 10:05:07.687662,0 days 00:00:11.751690,0.5435475387819033,0.08009222423778488,3,20,464,70,1.1348361127010829e-06,0.0025244715620066035,0.578511318992821,COMPLETE
30,-0.4051724137931034,2026-06-29 10:05:07.689559,2026-06-29 10:05:15.400183,0 days 00:00:07.710624,0.82262312854289,0.11107095751782473,7,45,411,33,0.36463653553819786,0.08094758152714261,0.6869789362203879,COMPLETE
31,-0.5172413793103449,2026-06-29 10:05:15.401019,2026-06-29 10:06:25.932982,0 days 00:01:10.531963,0.9410834366990499,0.023400736956391825,4,90,538,25,2.574038874801658,1.683930086237556,0.7772824539105324,COMPLETE
32,-0.5258620689655172,2026-06-29 10:06:25.933980,2026-06-29 10:07:11.589196,0 days 00:00:45.655216,0.9988952472383683,0.03119177310216398,5,29,714,29,0.9200250551533888,1.7269483802762997,0.7122309235479091,COMPLETE
33,-0.5258620689655172,2026-06-29 10:07:11.592210,2026-06-29 10:08:08.398728,0 days 00:00:56.806518,0.9151482923326422,0.014055671886894933,4,71,633,20,9.901113374536639,0.20864412827551354,0.6036873486270541,COMPLETE
34,-0.4827586206896552,2026-06-29 10:08:08.399547,2026-06-29 10:08:23.482480,0 days 00:00:15.082933,0.9639896342282581,0.022735865294924135,3,57,764,39,0.033736868716396425,0.001035058518282201,0.6645678228213717,COMPLETE
35,-0.5,2026-06-29 10:08:23.484480,2026-06-29 10:08:38.426209,0 days 00:00:14.941729,0.5054193363840002,0.06936637666457145,5,27,526,28,0.17261733220626263,6.744632328690722e-07,0.5670655010411049,COMPLETE
36,-0.4827586206896552,2026-06-29 10:08:38.427203,2026-06-29 10:09:05.967656,0 days 00:00:27.540453,0.708712490586713,0.04171985600093932,6,17,358,55,2.414440562944466,1.5327318808129453,0.762127676046748,COMPLETE
37,-0.47413793103448276,2026-06-29 10:09:05.968664,2026-06-29 10:09:20.408461,0 days 00:00:14.439797,0.7664792965297896,0.04993868791557884,3,98,442,87,1.2612256709615817e-05,5.8607327030391365e-06,0.7424854810677135,COMPLETE
38,-0.5086206896551724,2026-06-29 10:09:20.408461,2026-06-29 10:09:46.056584,0 days 00:00:25.648123,0.8572888429071857,0.017180917735531497,11,23,672,37,1.0724260240424127e-06,4.6739766194084606e-05,0.8030727545968087,COMPLETE
39,-0.31896551724137934,2026-06-29 10:09:46.056584,2026-06-29 10:09:59.092656,0 days 00:00:13.036072,0.8860189996144664,0.20657226812921334,8,77,594,136,1.2506849115855383,0.01983530686175622,0.6724462875619863,COMPLETE
40,-0.5,2026-06-29 10:09:59.093933,2026-06-29 10:10:15.914417,0 days 00:00:16.820484,0.9699945631815312,0.014098541126990733,4,86,195,149,0.0003849991959951674,0.6338157791447627,0.5414845029328261,COMPLETE
41,-0.49137931034482757,2026-06-29 10:10:15.915419,2026-06-29 10:10:37.248091,0 days 00:00:21.332672,0.9573499718644629,0.07622447452423775,4,62,487,69,3.4199722133468415,6.129945036905969,0.5689062895798469,COMPLETE
42,-0.5,2026-06-29 10:10:37.258093,2026-06-29 10:11:06.325500,0 days 00:00:29.067407,0.9172474749316617,0.05816919467794798,3,61,506,51,0.716367387258219,9.828617830317576,0.5900792179570342,COMPLETE
43,-0.3706896551724138,2026-06-29 10:11:06.326502,2026-06-29 10:11:16.136559,0 days 00:00:09.810057,0.9795863318245938,0.13664704995673782,5,74,327,66,0.39760746531461866,0.12585271351733954,0.5496178894688524,COMPLETE
44,-0.49137931034482757,2026-06-29 10:11:16.137562,2026-06-29 10:11:24.985232,0 days 00:00:08.847670,0.6642171996583831,0.0667716233319828,4,46,622,101,5.032413996969672,0.6975700773806067,0.6963342115500281,COMPLETE
45,-0.5,2026-06-29 10:11:24.986222,2026-06-29 10:11:38.897094,0 days 00:00:13.910872,0.8379187516850332,0.09067212906132027,5,14,428,72,0.047082136186240964,2.6096546283879376,0.529082788975432,COMPLETE
46,-0.5086206896551724,2026-06-29 10:11:38.898088,2026-06-29 10:11:56.572687,0 days 00:00:17.674599,0.8961406250803885,0.03564622954336953,6,34,566,41,0.7780521185729368,3.309327022015227,0.646328192889825,COMPLETE
47,-0.5,2026-06-29 10:11:56.573689,2026-06-29 10:12:17.286316,0 days 00:00:20.712627,0.9512511622892965,0.024859624031165487,3,80,675,57,1.7410707203866407,0.000293411342926045,0.5938045084832514,COMPLETE
48,-0.4827586206896552,2026-06-29 10:12:17.287989,2026-06-29 10:12:42.683944,0 days 00:00:25.395955,0.9235124006894568,0.018962010129306105,9,54,477,27,2.4614199308618484e-07,1.0412750521519361e-07,0.6262635791302884,COMPLETE
49,-0.49137931034482757,2026-06-29 10:12:42.684920,2026-06-29 10:12:52.546354,0 days 00:00:09.861434,0.7992165514743242,0.0929655582493454,4,69,105,114,0.010065730438570725,0.3578211891994023,0.9480450770644245,COMPLETE
